Table: HNA
Destination	Gateway
0.0.0.0/0	10.31.43.188
10.230.198.192/28	10.31.43.188
10.230.98.0/24	10.230.98.1
10.31.127.96/27	10.31.124.199
10.36.49.96/28	10.31.27.245
10.35.65.64/26	10.35.255.168
10.31.81.0/27	10.31.79.176
10.31.81.128/25	10.31.79.176
10.230.71.160/28	10.36.197.53
10.31.130.224/28	10.31.54.209
10.36.55.32/27	10.31.26.60
10.230.175.80/28	10.31.27.213
10.36.102.0/25	10.36.102.129
10.36.102.128/30	10.36.102.129
10.36.102.132/30	10.36.102.129
10.36.102.136/30	10.36.102.129
10.31.88.32/27	10.31.87.125
10.36.196.48/28	10.31.52.155
10.31.85.224/27	10.31.85.57
10.31.85.96/30	10.31.85.57
10.36.166.0/25	10.36.166.143
10.36.166.148/30	10.36.166.143
10.31.92.0/24	10.36.166.143
10.36.170.112/28	10.31.36.45
10.31.96.240/28	10.31.96.216
10.31.97.128/25	10.31.96.216
10.30.97.64/27	10.30.96.6
10.230.100.32/27	10.31.45.139
10.230.71.80/28	10.31.13.104
10.31.131.64/26	10.31.131.32
10.31.131.0/27	10.31.131.32
10.36.119.48/28	10.31.45.133
10.36.14.128/27	10.31.48.172
10.36.70.144/28	10.36.70.66
10.230.127.48/28	10.31.51.197
10.36.70.160/28	10.36.70.68
10.36.245.224/28	10.31.44.41
10.31.119.208/28	10.31.119.29
10.31.114.128/25	10.31.77.192
10.31.77.160/28	10.31.77.192
10.31.54.64/27	10.31.54.97
10.31.54.96/27	10.31.54.97
10.31.75.128/27	10.31.75.48
10.230.240.64/28	10.31.45.52
10.36.107.192/27	10.31.30.102
10.36.112.128/25	10.31.16.33
10.31.16.48/28	10.31.16.33
10.36.166.192/26	10.36.166.121
10.36.166.120/30	10.36.166.121
10.36.166.124/30	10.36.166.121
10.36.166.132/30	10.36.166.121
10.36.166.128/30	10.36.166.121
10.31.97.96/27	10.31.97.67
10.31.98.0/25	10.31.97.67
10.230.155.32/27	10.31.20.181
10.30.98.64/27	10.30.96.20
10.36.53.240/28	10.31.26.41
10.230.184.128/25	10.36.44.210
10.31.85.96/28	10.31.83.91
10.36.69.96/27	10.31.28.17
10.36.160.56/30	10.31.28.17
10.31.89.160/27	10.36.197.235
10.230.27.64/28	10.31.3.115
10.36.150.32/27	10.230.33.233
10.36.81.96/29	10.230.146.211
10.230.17.208/28	10.31.1.180
10.36.98.0/27	10.31.37.234
10.230.18.96/27	10.230.18.192
10.230.145.192/26	10.230.145.171
10.36.189.0/24	10.31.14.84
10.230.102.32/27	10.31.14.136
